"season","name","last_name","team","Plays","Drives","EPA","EPA_p","Exp","WR","OL","nHC","nTM","lagEPA"
2017,"C.Newton","Newton","CAR",701,174,0.12817684712077,0.0318156510684934,6,5.61017964071856,27.0535329341317,0,0,-11.5753333732134
2017,"A.Dalton","Dalton","CIN",599,175,-0.152314015475256,-0.0444990863241565,6,26.4301796407186,14.337125748503,0,0,81.4093432840568
2017,"T.Taylor","Taylor","BUF",579,152,0.157363426631016,0.041311296801234,6,3.11676646706587,26.6795209580838,1,0,50.1338327099944
2017,"C.Keenum","Keenum","MIN",588,160,0.522096005838077,0.142066940364103,5,14.2124550898204,22.9394011976048,0,1,-27.3138712205694
2017,"R.Wilson","Wilson","SEA",746,188,0.302230259883846,0.0761652665659023,5,9.47497005988024,23.3134131736527,0,0,55.8580742600572
2017,"K.Cousins","Cousins","WAS",650,180,0.206358712060499,0.0571454894936766,5,5.98419161676647,14.8358083832335,0,0,129.667751494035
2017,"T.Savage","Savage","HOU",269,70,-0.481583908308405,-0.12531923264531,3,27.0535329341317,15.8331736526946,0,0,-3.45489443550745
2017,"D.Carr","Carr","LV",600,158,0.192315338413423,0.0506430391155347,3,26.6795209580838,43.1360479041916,0,0,79.9947637665424
2017,"B.Bortles","Bortles","JAX",637,182,0.349489307534269,0.0998540878669341,3,12.4670658682635,29.6716167664671,1,0,1.42200771795524
2017,"J.Winston","Winston","TB",533,125,0.450031296456317,0.105542048887504,2,23.4380838323353,15.2098203592814,0,0,60.2497467006283
2017,"B.Hundley","Hundley","GB",402,108,-0.463280123249588,-0.124463316693919,2,38.6479041916168,23.562754491018,0,0,-8.78402619932699
2017,"T.Siemian","Siemian","DEN",438,115,-0.248449300091095,-0.0652321221700363,2,30.4196407185629,13.9631137724551,1,0,22.3773668964732
2017,"M.Mariota","Mariota","TEN",572,163,0.136681622169841,0.0389494832407065,2,23.562754491018,21.0693413173653,0,0,65.0049068348354
2017,"C.Wentz","Wentz","PHI",567,141,0.93186903938643,0.231734628842128,1,24.6847904191617,34.1597604790419,0,0,12.9347873103336
2017,"D.Prescott","Prescott","DAL",631,160,0.099111108137867,0.0251311843138807,1,32.414371257485,18.4512574850299,0,0,143.248186955099
2017,"J.Goff","Goff","LA",555,160,0.636587793659231,0.183520805379238,1,31.2923353293413,25.3081437125749,1,0,-80.3100101794266
2017,"J.Brissett","Brissett","IND",610,162,-0.22019453404917,-0.0584778926491238,1,18.9499401197605,20.3213173652695,0,1,-9.26683713738236
2017,"D.Watson","Watson","HOU",284,75,0.814225836167784,0.215024428565436,0,27.0535329341317,15.8331736526946,0,1,0
2017,"M.Trubisky","Trubisky","CHI",431,125,-0.33000255482632,-0.0957083975714386,0,11.594371257485,28.0508982035928,0,1,0
2017,"D.Kizer","Kizer","CLE",631,150,-0.501065044946338,-0.119112134297862,0,6.1088622754491,35.5311377245509,0,1,0
2017,"C.Beathard","Beathard","SF",277,67,-0.516943129280907,-0.125036785782746,0,7.97892215568862,24.8094610778443,1,1,0
2018,"T.Brady","Brady","NE",642,163,0.711577425545128,0.180665296516909,18,16.5667042889391,20.3265237020316,0,0,164.614380248348
2018,"D.Brees","Brees","NO",570,152,1.25302587239811,0.334140232639496,17,9.98702031602709,40.4180586907449,0,0,96.5315235134959
2018,"E.Manning","Manning","NYG",667,168,0.283007072095416,0.0712821410974961,14,13.7468397291196,17.7416478555305,1,0,-68.8853945474171
2018,"B.Roethlisberger","Roethlisberger","PIT",774,170,1.04692097807364,0.229943884073021,14,14.0993227990971,30.9010158013544,0,0,107.546129386678
2018,"P.Rivers","Rivers","LAC",592,154,0.882441859697844,0.229554132421399,14,29.2560948081264,32.3109480812641,0,0,131.699911224068
2018,"A.Smith","Smith","WAS",412,100,0.1181654692894,0.0286809391479127,13,6.81467268623025,27.9636568848758,0,1,102.76718772569
2018,"A.Rodgers","Rodgers","GB",731,163,0.561291019917397,0.125157915521937,13,30.1960496613995,37.0107223476298,1,0,36.21163379414
2018,"R.Fitzpatrick","Fitzpatrick","TB",312,75,0.884379309490555,0.212591180165999,13,39.5955981941309,26.9062076749436,0,0,15.1187572189654
2018,"M.Ryan","Ryan","ATL",719,165,0.954150341771048,0.218963569391131,10,28.5511286681716,36.6582392776524,0,0,94.4731668266152
2018,"J.Flacco","Flacco","BAL",439,95,0.38618231932797,0.0835702057771234,10,13.7468397291196,24.4388261851016,0,0,-43.2881921328539
